close	volumeto	epoch2date
595.63	13463966.31	1474416000
602.92	15567036.24	1474502400
602.59	8196210.74	1474588800
601.49	8038079.81	1474675200
606.54	16700407.53	1474761600
605.47	15534315.77	1474848000
604.67	11485005.36	1474934400
604.7	15403975.48	1475020800
608.14	14534745.84	1475107200
613.41	10415543.03	1475193600
610.69	10096653.77	1475280000
611.6	13462741.8	1475366400
608.96	15300692.52	1475452800
611.82	14360536.88	1475539200
610.97	13276337.45	1475625600
616.03	20167399.2	1475712000
617.65	8467434	1475798400
615.77	8320759.4	1475884800
617.29	15597892.34	1475971200
640.45	35367127.91	1476057600
635.99	17240000.95	1476144000
635.6	16387361.92	1476230400
637.92	20114873.61	1476316800
637.03	7970927.57	1476403200
640.12	8306925.43	1476489600
637.37	17742610.19	1476576000
635.34	15725013.13	1476662400
629.06	22379197.69	1476748800
628.34	13252110.98	1476835200
630.45	17836383.25	1476921600
655.48	24154228.12	1477008000
653.03	14418212.04	1477094400
650.49	21726106.55	1477180800
651	24179462.12	1477267200
674.67	31949607.32	1477353600
682.3	31862181.34	1477440000
686.24	26829414	1477526400
714.95	38351348.64	1477612800
697.27	27793236.64	1477699200
698.67	26687188.09	1477785600
726.76	49453950.69	1477872000
733.51	28452232.03	1477958400
684.87	69067917.54	1478044800
702.08	33762721.43	1478131200
702.11	15554565.72	1478217600
709.91	18363567.63	1478304000
705.4	21797370.12	1478390400
710.9	28262235.71	1478476800
721.42	51548567.54	1478563200
714.57	23931322.76	1478649600
714.97	18386841.21	1478736000
704.27	19677656.63	1478822400
701.97	25249834.8	1478908800
704.56	26613445.03	1478995200
711.1	29562740.26	1479081600
740.28	58304902.39	1479168000
737.53	46942756.4	1479254400
746.96	29666065.54	1479340800
747.89	19276573.28	1479427200
728.51	34876785.19	1479513600
736.19	24010681.87	1479600000
749.34	33225195.21	1479686400
741.07	28258203.98	1479772800
735.31	27531777.52	1479859200
740.39	21299510.69	1479945600
734.14	16682481.58	1480032000
729.42	15735824.63	1480118400
733.3	25153838.93	1480204800
732.56	24030304.1	1480291200
742.49	29210351.41	1480377600
752.63	40690942.17	1480464000
770.94	48893613.64	1480550400
764.24	30234128.1	1480636800
766.39	14755120.48	1480723200
754.34	39082688.28	1480809600
758.21	25497771.6	1480896000
765.56	26755412.58	1480982400
768.49	22208497.22	1481068800
770.48	18722048.47	1481155200
774	14049110.07	1481241600
767.91	13269086.38	1481328000
778.47	22442991.37	1481414400
778.74	25894856.06	1481500800
776.5	19326375.41	1481587200
775.21	20452116.66	1481673600
782.05	21650384.64	1481760000
787.17	18648778.51	1481846400
789.01	11525747.48	1481932800
789.79	20238681.94	1482019200
799.1	27406319.09	1482105600
829.21	53411082.07	1482192000
860.15	60511618.45	1482278400
917.17	91802931.23	1482364800
891.07	41576781.41	1482451200
891.07	37173377.51	1482537600
898.38	35002753.4	1482624000
925.78	45966615.06	1482710400
972.17	73811803.99	1482796800
971.08	59226667.89	1482883200
959.04	67449149.3	1482969600
963.38	26379401.89	1483056000
995.44	40570922.99	1483142400
1017.05	66038073.34	1483228800
1033.3	56085870.7	1483315200
1135.41	170584623	1483401600
989.35	244839289.8	1483488000
886.16	179160668.8	1483574400
888.87	113037531.7	1483660800
900.86	70298340.37	1483747200
899.78	55963281.18	1483833600
904.37	48644106.82	1483920000
785.43	160194109.8	1484006400
810.11	93986701.88	1484092800
824.83	72555875.62	1484179200
819.63	36594482	1484265600
821.17	20004735.1	1484352000
827.34	27592899.17	1484438400
899.66	72272727.15	1484524800
872.03	61042392.11	1484611200
895.21	52300814.98	1484697600
892.91	34847130.33	1484784000
919.84	37129176.59	1484870400
918.84	44074299.79	1484956800
921.46	30261054.5	1485043200
893.75	53468911.31	1485129600
894.41	34014866.15	1485216000
915.56	30795685.98	1485302400
918.01	28503144.41	1485388800
918.51	13251844.02	1485475200
914.55	10214368.33	1485561600
920.73	17604172.47	1485648000
965.49	51869216.53	1485734400
982.43	44035816.37	1485820800
1003.97	50633910.56	1485907200
1013.02	62431017.97	1485993600
1031.85	40406542.54	1486080000
1016.11	31669956.98	1486166400
1024.67	32828350.27	1486252800
1049.56	41318349.43	1486339200
1055.49	68336320.22	1486425600
978.96	145839317.5	1486512000
997.61	60639111.4	1486598400
1008.32	28504495.1	1486684800
996.52	14825023.07	1486771200
995.36	32785064.4	1486857600
1008.34	39810076.3	1486944000
1008.19	23569549.45	1487030400
1031.93	39114743.32	1487116800
1049.41	47815360.54	1487203200
1052.28	26856521.18	1487289600
1048.89	18876881.86	1487376000
1077.56	32959720.15	1487462400
1119.03	62908569.43	1487548800
1120.46	53647453.34	1487635200
1171.91	75663167.44	1487721600
1176.49	126978010.8	1487808000
